symbol,name,price,exchange,exchangeShortName,type
KC,Kingsoft Cloud Holdings Limited,2.76,NASDAQ Global Select,NASDAQ,stock
EFOI,"Energy Focus, Inc.",2.29,NASDAQ Capital Market,NASDAQ,stock
ACHV,"Achieve Life Sciences, Inc.",4.0,NASDAQ Capital Market,NASDAQ,stock
BRFS,BRF S.A.,2.81,New York Stock Exchange,NYSE,stock
ABEO,Abeona Therapeutics Inc.,6.75,NASDAQ Capital Market,NASDAQ,stock
CKPT,"Checkpoint Therapeutics, Inc.",1.92,NASDAQ Capital Market,NASDAQ,stock
CORZ,"Core Scientific, Inc.",3.24,NASDAQ Global Select,NASDAQ,stock
NR,"Newpark Resources, Inc.",6.27,New York Stock Exchange,NYSE,stock
CTLP,"Cantaloupe, Inc.",6.28,NASDAQ Global Select,NASDAQ,stock
CNEY,CN Energy Group. Inc.,1.6,NASDAQ Capital Market,NASDAQ,stock
CRNT,Ceragon Networks Ltd.,2.92,NASDAQ Global Select,NASDAQ,stock
MCRB,"Seres Therapeutics, Inc.",1.05,NASDAQ Global Select,NASDAQ,stock
NYCB,"New York Community Bancorp, Inc.",4.5,New York Stock Exchange,NYSE,stock
AKYA,"Akoya Biosciences, Inc.",5.27,NASDAQ Global Select,NASDAQ,stock
ELTX,"Elicio Therapeutics, Inc.",3.99,NASDAQ Global Market,NASDAQ,stock
FLGC,Flora Growth Corp.,1.02,NASDAQ Capital Market,NASDAQ,stock
LPTH,"LightPath Technologies, Inc.",1.65,NASDAQ Capital Market,NASDAQ,stock
TTI,"TETRA Technologies, Inc.",3.84,New York Stock Exchange,NYSE,stock
GLYC,"GlycoMimetics, Inc.",2.99,NASDAQ Global Market,NASDAQ,stock
LFST,"LifeStance Health Group, Inc.",6.31,NASDAQ Global Select,NASDAQ,stock
ACRS,"Aclaris Therapeutics, Inc.",1.2,NASDAQ Global Select,NASDAQ,stock
GRDI,GRIID Infrastructure Inc. Common Stock,1.97,Nasdaq,NASDAQ,stock
CSTE,Caesarstone Ltd.,4.1,NASDAQ Global Select,NASDAQ,stock
BIVI,BioVie Inc.,1.19,NASDAQ Capital Market,NASDAQ,stock
BGFV,Big 5 Sporting Goods Corporation,5.23,NASDAQ Global Select,NASDAQ,stock
MSS,Maison Solutions Inc. Class A Common Stock,1.66,NASDAQ,NASDAQ,stock
AIRS,"AirSculpt Technologies, Inc.",6.29,NASDAQ Global Market,NASDAQ,stock
CVAC,CureVac N.V.,3.42,NASDAQ Global Market,NASDAQ,stock
EPSN,Epsilon Energy Ltd.,5.05,NASDAQ Global Market,NASDAQ,stock
FOSL,"Fossil Group, Inc.",1.13,NASDAQ Global Select,NASDAQ,stock
MGIH,Millennium Group International Holdings Limited,1.98,NASDAQ Capital Market,NASDAQ,stock
