symbol,close,dateTimeUtc,dateTimeEst
HIGHUSDT,2.31,2024-03-12 03:45:00,2024-03-11 22:45:00
HIFIUSDT,0.8459,2024-03-12 03:45:00,2024-03-11 22:45:00
HFTUSDT,0.507,2024-03-12 03:45:00,2024-03-11 22:45:00
HBARUSDT,0.1313,2024-03-12 03:45:00,2024-03-11 22:45:00
HARDUSDT,0.2584,2024-03-12 03:45:00,2024-03-11 22:45:00
GTCUSDT,2.416,2024-03-12 03:45:00,2024-03-11 22:45:00
GRTUSDT,0.4323,2024-03-12 03:45:00,2024-03-11 22:45:00
GNSUSDT,6.073,2024-03-12 03:45:00,2024-03-11 22:45:00
GNOUSDT,437.9,2024-03-12 03:45:00,2024-03-11 22:45:00
GMXUSDT,58.37,2024-03-12 03:45:00,2024-03-11 22:45:00
GMTUSDT,0.3642,2024-03-12 03:45:00,2024-03-11 22:45:00
GLMUSDT,0.6304,2024-03-12 03:45:00,2024-03-11 22:45:00
GLMRUSDT,0.6518,2024-03-12 03:45:00,2024-03-11 22:45:00
GHSTUSDT,1.189,2024-03-12 03:45:00,2024-03-11 22:45:00
GFTUSDT,0.02609,2024-03-12 03:45:00,2024-03-11 22:45:00
GASUSDT,7.288,2024-03-12 03:45:00,2024-03-11 22:45:00
GALUSDT,4.657,2024-03-12 03:45:00,2024-03-11 22:45:00
GALAUSDT,0.07365,2024-03-12 03:45:00,2024-03-11 22:45:00
FXSUSDT,9.132,2024-03-12 03:45:00,2024-03-11 22:45:00
FUNUSDT,0.006676,2024-03-12 03:45:00,2024-03-11 22:45:00
FTTUSDT,2.3063,2024-03-12 03:45:00,2024-03-11 22:45:00
FTMUSDT,0.7977,2024-03-12 03:45:00,2024-03-11 22:45:00
FRONTUSDT,0.854,2024-03-12 03:45:00,2024-03-11 22:45:00
FORUSDT,0.03531,2024-03-12 03:45:00,2024-03-11 22:45:00
FORTHUSDT,5.317,2024-03-12 03:45:00,2024-03-11 22:45:00
FLUXUSDT,1.1871,2024-03-12 03:45:00,2024-03-11 22:45:00
FLOWUSDT,1.581,2024-03-12 03:45:00,2024-03-11 22:45:00
FLOKIUSDT,0.00027359,2024-03-12 03:45:00,2024-03-11 22:45:00
FLMUSDT,0.1337,2024-03-12 03:45:00,2024-03-11 22:45:00
FISUSDT,0.6886,2024-03-12 03:45:00,2024-03-11 22:45:00
FIROUSDT,2.207,2024-03-12 03:45:00,2024-03-11 22:45:00
FIOUSDT,0.04333,2024-03-12 03:45:00,2024-03-11 22:45:00
FILUSDT,10.872,2024-03-12 03:45:00,2024-03-11 22:45:00
FIDAUSDT,0.5127,2024-03-12 03:45:00,2024-03-11 22:45:00
FETUSDT,2.7118,2024-03-12 03:45:00,2024-03-11 22:45:00
FDUSDUSDT,0.9986,2024-03-12 03:45:00,2024-03-11 22:45:00
FARMUSDT,55.65,2024-03-12 03:45:00,2024-03-11 22:45:00
ETHUSDT,4022.8,2024-03-12 03:45:00,2024-03-11 22:45:00
ETCUSDT,37.05,2024-03-12 03:45:00,2024-03-11 22:45:00
ERNUSDT,5.366,2024-03-12 03:45:00,2024-03-11 22:45:00
EPXUSDT,0.0004103,2024-03-12 03:45:00,2024-03-11 22:45:00
EOSUSDT,1.2107,2024-03-12 03:45:00,2024-03-11 22:45:00
ENSUSDT,25.61,2024-03-12 03:45:00,2024-03-11 22:45:00
ENJUSDT,0.6496,2024-03-12 03:45:00,2024-03-11 22:45:00
ELFUSDT,0.6878,2024-03-12 03:45:00,2024-03-11 22:45:00
EGLDUSDT,70.3,2024-03-12 03:45:00,2024-03-11 22:45:00
EDUUSDT,1.13273,2024-03-12 03:45:00,2024-03-11 22:45:00
DYMUSDT,7.779,2024-03-12 03:45:00,2024-03-11 22:45:00
DYDXUSDT,4.002,2024-03-12 03:45:00,2024-03-11 22:45:00
DUSKUSDT,0.3861,2024-03-12 03:45:00,2024-03-11 22:45:00
DREPUSDT,0.473,2024-03-12 03:45:00,2024-03-11 22:45:00
DOTUSDT,10.885,2024-03-12 03:45:00,2024-03-11 22:45:00
DOGEUSDT,0.17411,2024-03-12 03:45:00,2024-03-11 22:45:00
DODOUSDT,0.2982,2024-03-12 03:45:00,2024-03-11 22:45:00
DOCKUSDT,0.04422,2024-03-12 03:45:00,2024-03-11 22:45:00
DIAUSDT,0.6312,2024-03-12 03:45:00,2024-03-11 22:45:00
DFUSDT,0.05945,2024-03-12 03:45:00,2024-03-11 22:45:00
DEXEUSDT,10.138,2024-03-12 03:45:00,2024-03-11 22:45:00
DENTUSDT,0.002208,2024-03-12 03:45:00,2024-03-11 22:45:00
DEGOUSDT,3.205,2024-03-12 03:45:00,2024-03-11 22:45:00
DCRUSDT,28.61,2024-03-12 03:45:00,2024-03-11 22:45:00
DATAUSDT,0.08461,2024-03-12 03:45:00,2024-03-11 22:45:00
DASHUSDT,43.18,2024-03-12 03:45:00,2024-03-11 22:45:00
DARUSDT,0.26316,2024-03-12 03:45:00,2024-03-11 22:45:00
CYBERUSDT,11.742,2024-03-12 03:45:00,2024-03-11 22:45:00
CVXUSDT,4.964,2024-03-12 03:45:00,2024-03-11 22:45:00
CVPUSDT,0.6134,2024-03-12 03:45:00,2024-03-11 22:45:00
CVCUSDT,0.1543,2024-03-12 03:45:00,2024-03-11 22:45:00
CTXCUSDT,0.6248,2024-03-12 03:45:00,2024-03-11 22:45:00
CTSIUSDT,0.3877,2024-03-12 03:45:00,2024-03-11 22:45:00
CTKUSDT,0.9513,2024-03-12 03:45:00,2024-03-11 22:45:00
CRVUSDT,0.8324,2024-03-12 03:45:00,2024-03-11 22:45:00
CREAMUSDT,19.67,2024-03-12 03:45:00,2024-03-11 22:45:00
COTIUSDT,0.23084,2024-03-12 03:45:00,2024-03-11 22:45:00
COSUSDT,0.00896,2024-03-12 03:45:00,2024-03-11 22:45:00
COMPUSDT,90.56,2024-03-12 03:45:00,2024-03-11 22:45:00
COMBOUSDT,1.168,2024-03-12 03:45:00,2024-03-11 22:45:00
CLVUSDT,0.1007,2024-03-12 03:45:00,2024-03-11 22:45:00
CITYUSDT,3.868,2024-03-12 03:45:00,2024-03-11 22:45:00
CHZUSDT,0.16227,2024-03-12 03:45:00,2024-03-11 22:45:00
CHRUSDT,0.4302,2024-03-12 03:45:00,2024-03-11 22:45:00
CHESSUSDT,0.3086,2024-03-12 03:45:00,2024-03-11 22:45:00
CFXUSDT,0.3275,2024-03-12 03:45:00,2024-03-11 22:45:00
CELRUSDT,0.03595,2024-03-12 03:45:00,2024-03-11 22:45:00
CELOUSDT,1.6246,2024-03-12 03:45:00,2024-03-11 22:45:00
CAKEUSDT,4.245,2024-03-12 03:45:00,2024-03-11 22:45:00
C98USDT,0.4387,2024-03-12 03:45:00,2024-03-11 22:45:00
BURGERUSDT,0.836,2024-03-12 03:45:00,2024-03-11 22:45:00
BTTCUSDT,1.74e-06,2024-03-12 03:45:00,2024-03-11 22:45:00
BTCUSDT,71488.89,2024-03-12 03:45:00,2024-03-11 22:45:00
BSWUSDT,0.1619,2024-03-12 03:45:00,2024-03-11 22:45:00
BONKUSDT,3.094e-05,2024-03-12 03:45:00,2024-03-11 22:45:00
BONDUSDT,4.456,2024-03-12 03:45:00,2024-03-11 22:45:00
BNXUSDT,0.6148,2024-03-12 03:45:00,2024-03-11 22:45:00
BNTUSDT,0.9929,2024-03-12 03:45:00,2024-03-11 22:45:00
BLZUSDT,0.3764,2024-03-12 03:45:00,2024-03-11 22:45:00
BLURUSDT,0.6964,2024-03-12 03:45:00,2024-03-11 22:45:00
BIFIUSDT,432.6,2024-03-12 03:45:00,2024-03-11 22:45:00
BICOUSDT,0.658,2024-03-12 03:45:00,2024-03-11 22:45:00
BETAUSDT,0.11265,2024-03-12 03:45:00,2024-03-11 22:45:00
BELUSDT,0.9404,2024-03-12 03:45:00,2024-03-11 22:45:00
BEAMXUSDT,0.040577,2024-03-12 03:45:00,2024-03-11 22:45:00
BCHUSDT,433.4,2024-03-12 03:45:00,2024-03-11 22:45:00
BATUSDT,0.3636,2024-03-12 03:45:00,2024-03-11 22:45:00
BARUSDT,3.092,2024-03-12 03:45:00,2024-03-11 22:45:00
BANDUSDT,2.591,2024-03-12 03:45:00,2024-03-11 22:45:00
BALUSDT,5.92,2024-03-12 03:45:00,2024-03-11 22:45:00
BAKEUSDT,0.462,2024-03-12 03:45:00,2024-03-11 22:45:00
BADGERUSDT,6.098,2024-03-12 03:45:00,2024-03-11 22:45:00
AXSUSDT,12.742,2024-03-12 03:45:00,2024-03-11 22:45:00
AXLUSDT,2.3233,2024-03-12 03:45:00,2024-03-11 22:45:00
AVAXUSDT,48.27,2024-03-12 03:45:00,2024-03-11 22:45:00
AVAUSDT,0.9384,2024-03-12 03:45:00,2024-03-11 22:45:00
AUDIOUSDT,0.329,2024-03-12 03:45:00,2024-03-11 22:45:00
AUCTIONUSDT,27.51,2024-03-12 03:45:00,2024-03-11 22:45:00
ATOMUSDT,13.614,2024-03-12 03:45:00,2024-03-11 22:45:00
ATMUSDT,3.234,2024-03-12 03:45:00,2024-03-11 22:45:00
ATAUSDT,0.163,2024-03-12 03:45:00,2024-03-11 22:45:00
ASTUSDT,0.1858,2024-03-12 03:45:00,2024-03-11 22:45:00
ASTRUSDT,0.1627,2024-03-12 03:45:00,2024-03-11 22:45:00
ASRUSDT,3.102,2024-03-12 03:45:00,2024-03-11 22:45:00
ARUSDT,40.029,2024-03-12 03:45:00,2024-03-11 22:45:00
