type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,STPTUSDT,21.0,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,POWRUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,2.6%,-0.0%,2.6%,1000,1026.0
total,HIFIUSDT,5.5,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,3.6%,-0.0%,3.6%,1000,1036.0
total,ONGUSDT,22.33,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,8.28%,-0.0%,8.28%,1000,1082.8
total,QTUMUSDT,21.83,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,NTRNUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,SNTUSDT,21.17,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,IOSTUSDT,21.5,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,17.04%,-0.0%,17.04%,1000,1170.4
total,ZRXUSDT,15.0,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,12.36%,-0.0%,12.36%,1000,1123.6
total,BAKEUSDT,21.33,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,TUSDT,20.83,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,9.28%,-0.0%,9.28%,1000,1092.8
total,KNCUSDT,20.83,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,PENDLEUSDT,27.0,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,ROSEUSDT,16.83,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,8.28%,-0.0%,8.28%,1000,1082.8
total,CRVUSDT,25.0,3,3,0,100.0%,5.0%,-0.0%,5.0%,1000,1050.0,7.68%,-0.0%,7.68%,1000,1076.8
total,ICXUSDT,15.5,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,8.28%,-0.0%,8.28%,1000,1082.8
total,AUDIOUSDT,22.0,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,10.88%,-0.0%,10.88%,1000,1108.8
total,ARKUSDT,14.33,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,5.2%,-0.0%,5.2%,1000,1052.0
total,DUSKUSDT,24.83,3,3,0,100.0%,5.0%,-0.0%,5.0%,1000,1050.0,4.6%,-0.0%,4.6%,1000,1046.0
total,STEEMUSDT,22.5,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,12.36%,-0.0%,12.36%,1000,1123.6
total,DENTUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,LSKUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,2.6%,-0.0%,2.6%,1000,1026.0
total,IDEXUSDT,21.0,4,4,0,100.0%,8.0%,-0.0%,8.0%,1000,1080.0,13.36%,-0.0%,13.36%,1000,1133.6
total,OMGUSDT,16.0,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,17.04%,-0.0%,17.04%,1000,1170.4
total,AUCTIONUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,2.6%,-0.0%,2.6%,1000,1026.0
total,SKLUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,CHZUSDT,15.33,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,9.28%,-0.0%,9.28%,1000,1092.8
total,WAVESUSDT,21.0,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,FLMUSDT,22.5,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,17.04%,-0.0%,17.04%,1000,1170.4
total,JTOUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,2.6%,-0.0%,2.6%,1000,1026.0
total,CELRUSDT,17.33,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,17.04%,-6.0%,11.04%,1000,1110.4
total,ANKRUSDT,23.67,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,17.04%,-6.0%,11.04%,1000,1110.4
total,BATUSDT,21.0,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,17.04%,-6.0%,11.04%,1000,1110.4
total,GALAUSDT,14.67,4,3,1,75.0%,7.0%,-6.0%,1.0%,1000,1010.0,12.36%,-6.0%,6.36%,1000,1063.6
total,NEOUSDT,24.83,4,3,1,75.0%,7.0%,-6.0%,1.0%,1000,1010.0,9.28%,-6.0%,3.28%,1000,1032.8
total,CVXUSDT,27.0,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,DYDXUSDT,24.17,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
total,STRAXUSDT,10.5,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
total,MASKUSDT,22.67,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
total,MTLUSDT,15.67,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
