type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,IOTXUSDT,128.67,7,3,4,42.86%,7.0%,-24.0%,-17.0%,1000,830.0,12.36%,-24.0%,-11.64%,1000,883.6
total,BONDUSDT,138.67,7,3,4,42.86%,9.0%,-24.0%,-15.0%,1000,850.0,17.04%,-24.0%,-6.96%,1000,930.4
total,LRCUSDT,119.67,7,3,4,42.86%,9.0%,-24.0%,-15.0%,1000,850.0,13.96%,-24.0%,-10.04%,1000,899.6
total,CKBUSDT,92.0,5,2,3,40.0%,4.0%,-18.0%,-14.0%,1000,860.0,3.6%,-18.0%,-14.4%,1000,856.0
total,KEYUSDT,86.33,5,2,3,40.0%,6.0%,-18.0%,-12.0%,1000,880.0,8.28%,-18.0%,-9.72%,1000,902.8
total,GASUSDT,76.83,5,2,3,40.0%,2.0%,-18.0%,-16.0%,1000,840.0,2.0%,-18.0%,-16.0%,1000,840.0
total,SPELLUSDT,112.83,9,3,6,33.33%,7.0%,-36.0%,-29.0%,1000,710.0,12.36%,-36.0%,-23.64%,1000,763.6
total,MBLUSDT,97.17,3,1,2,33.33%,3.0%,-12.0%,-9.0%,1000,910.0,5.68%,-12.0%,-6.32%,1000,936.8
total,POLYXUSDT,78.67,3,1,2,33.33%,3.0%,-12.0%,-9.0%,1000,910.0,2.6%,-12.0%,-9.4%,1000,906.0
total,MEMEUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
total,ARKUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
