type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,COMPUSDT,51.0,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,17.04%,-6.0%,11.04%,1000,1110.4
total,VETUSDT,113.83,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,17.04%,-6.0%,11.04%,1000,1110.4
total,ZILUSDT,133.83,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,13.96%,-6.0%,7.96%,1000,1079.6
total,BANDUSDT,125.67,4,3,1,75.0%,5.0%,-6.0%,-1.0%,1000,990.0,7.68%,-6.0%,1.68%,1000,1016.8
total,FLMUSDT,45.5,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,13.96%,-6.0%,7.96%,1000,1079.6
total,APEUSDT,108.33,4,3,1,75.0%,7.0%,-6.0%,1.0%,1000,1010.0,9.28%,-6.0%,3.28%,1000,1032.8
total,GMXUSDT,123.33,7,5,2,71.43%,11.0%,-12.0%,-1.0%,1000,990.0,19.04%,-12.0%,7.04%,1000,1070.4
total,CTKUSDT,112.67,6,4,2,66.67%,10.0%,-12.0%,-2.0%,1000,980.0,18.04%,-12.0%,6.04%,1000,1060.4
total,QNTUSDT,113.5,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
total,NEARUSDT,29.33,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,NKNUSDT,132.5,6,4,1,66.67%,10.0%,-6.0%,4.0%,1000,1040.0,18.04%,-6.0%,12.04%,1000,1120.4
total,COMBOUSDT,83.83,6,4,2,66.67%,12.0%,-12.0%,0.0%,1000,1000.0,19.64%,-12.0%,7.64%,1000,1076.4
total,SUSHIUSDT,98.83,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,8.28%,-6.0%,2.28%,1000,1022.8
total,COTIUSDT,126.33,6,4,2,66.67%,12.0%,-12.0%,0.0%,1000,1000.0,16.56%,-12.0%,4.56%,1000,1045.6
total,TUSDT,45.33,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,SFPUSDT,128.17,9,6,3,66.67%,14.0%,-18.0%,-4.0%,1000,960.0,21.64%,-18.0%,3.64%,1000,1036.4
total,XLMUSDT,45.83,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
total,BLZUSDT,96.83,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,8.28%,-6.0%,2.28%,1000,1022.8
total,BADGERUSDT,93.5,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,8.28%,-6.0%,2.28%,1000,1022.8
total,CKBUSDT,122.5,6,4,2,66.67%,12.0%,-12.0%,0.0%,1000,1000.0,19.64%,-12.0%,7.64%,1000,1076.4
total,OGNUSDT,124.0,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
total,ONEUSDT,51.83,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
